objectid,id_trazado,long_traz,ori_traz,fin_traz,nom_traz,le_troncal,nom_tronc,fase_tronc,eta_oper,esta_oper,tipo_tra,Shape__Length,globalid
126,TZ002,11.8213993,Avenida Calle 80,Terminal,Autopista Norte,B,Autopista Norte,FASE I,1,1,1,11832.5016779505,{389107A2-D1E1-491D-A369-B896E8CC112F}
127,TZ008,9.95684642,Autopista Norte,Avenida Calle 6,NQS Central,E,NQS Central,FASE II,1,1,1,9951.65548686491,{1967B834-BD1E-4148-B185-373D9B648750}
128,TZ009,13.09255757,Avenida Caracas,Portal Americas,Americas,F,Americas,FASE II,1,1,1,13008.3202903686,{2526622E-0F8F-4018-8146-84FF6DE5FC65}
129,TZ015,1.9319687,Carrera 3,Avenida Caracas,Eje Ambiental,J,Eje Ambiental,FASE I,1,1,1,1934.27026274184,{6C1B642D-F281-4915-A52A-2CBC873FAFDD}
130,TZ018,6.4881783,Portal 20 De Julio,San Diego,Carrera 10,L,Carrera 10,FASE III,1,1,1,6481.00153866863,{FEE4E75E-9F33-496D-881E-45DBA0EE46BF}
131,TZ004,1.41360378,Portal Suba,Avenida ALO,Suba Extension,C,Suba,FASE II,1,1,2,1414.08664951637,{26804E1E-AA03-408A-B150-19B1E1BF160B}
132,TZ007,2.20554405,Carrera 10,Avenida NQS,Calle 6,E,NQS Central,FASE III,1,1,1,2204.18705592254,{C8B81C58-08B4-4D0B-814F-7C2F1CC57A42}
133,TZ001,8.31087152,Avenida Calle 80,Avenida Calle 6,Caracas Centro,A,Caracas,FASE I,1,1,1,8282.63059681837,{7906C3B6-18D2-4559-985D-566D81559B13}
134,TZ010,10.16601251,Avenida Calle 6,Limite del Distrito,NQS Sur,G,NQS Sur,FASE II,1,1,1,10163.7466045714,{056691A8-F808-4F78-ABE4-F41034972131}
135,TZ014,1.75868858,Avenida Caracas,Portal Tunal,Tunal,H,Caracas Sur,FASE I,1,1,1,1753.8318447766,{DD123375-34F0-4917-8BE2-4AC255E54F38}
136,TZ019,0.64098697,San Diego,Museo Nacional,Carrera 7,M,Carrera 7,FASE III,1,1,1,641.045229212358,{54FE3BE5-63B7-4F3F-BF62-644A48EC28CD}
137,TZ012,7.40954562,Avenida Calle 6,Molinos,Caracas Sur,H,Caracas Sur,FASE I,1,1,1,7411.68603904049,{676A7CE3-AE64-4279-B695-A1A59462184C}
138,TZ011,2.85964512,Limite Del Distrito,San Mateo,Soacha,G,NQS Sur,FASE II,1,1,1,2856.2402389495,{01CE94FC-D04E-475F-9F2E-505778EFC515}
139,TZ020,11.65402973,Museo Nacional,Avenida Calle 134,Carrera 7,M,Carrera 7,FASE III,1,1,2,11653.0920506126,{7FEEEE0E-6E5F-484D-8F47-630FD81205DC}
140,TZ017,2.22037955,Portal Eldorado,Aeropuerto El Dorado,Calle 26 Extension,K,Calle 26,FASE III,1,1,2,2220.37962849051,{26E31633-0AFB-44C2-B4F1-C36D37A1B989}
141,TZ006,2.70267696,Portal 80,Limite del Distrito,Calle 80 Extension,D,Calle 80,FASE I,1,1,2,2702.6769638066,{FCDB9496-2EBD-44F0-8D4C-91D9F060E42F}
142,TZ013,2.52892475,Molinos,Portal De Usme,Caracas Sur Extension,H,Caracas Sur,FASE I,1,1,1,3334.7479643365,{41B4A9B9-5CBA-4BF9-84F1-4FB188346A03}
143,TZ005,7.3802452,Autopista Norte,Portal 80,Calle 80,D,Calle 80,FASE I,1,1,1,7382.86194169719,{8BB3FE95-F039-41BC-9644-863143724FB4}
144,TZ016,12.25248872,Carrera 3,Portal ElDorado,Calle 26,K,Calle 26,FASE III,1,1,1,12227.8444659883,{A0CCF5D5-3573-4036-AEFD-5D94709CE45F}
164,TZ003,11.48905023,Avenida Calle 80,Portal Suba,Suba,C,Suba,FASE II,1,1,1,11457.7038409153,{528237A6-7CF6-447C-99CA-1015A7934F83}
167,TZ022A,1.96825271,Portal Américas,Tibanica,Avenida Ciudad De Cali,Z,Avenida Ciudad de Cali,FASE IV,1,1,2,1968.25271342392,{67AB2148-7F11-427E-AC66-379EC3357E72}
168,TZ022,2.85,Portal Américas,Tibanica,Avenida Ciudad De Cali,Z,Avenida Ciudad de Cali,FASE IV,1,1,1,2850.19085770169,{B03472C5-B240-4F9D-98BF-84928744B259}
