origen,destino,tipo,distancia_km,tiempo_min
7103,7104,intra_trazado,1.06305,2.551
7103,7102,intra_trazado,0.55631,1.335
6103,6102,intra_trazado,0.52862,1.269
6103,6104,intra_trazado,0.52847,1.268
7106,7107,intra_trazado,0.92123,2.211
7106,7105,intra_trazado,0.51674,1.24
10008,10007,intra_trazado,0.62155,1.492
10008,10009,cruce_troncal,0.54476,4.307
4100,4003,intra_trazado,0.60136,1.443
4100,4101,intra_trazado,0.51869,1.245
7111,7110,intra_trazado,0.75313,1.808
7111,12003,intercambio,0.40433,8.391
7111,7112,cruce_troncal,1.06007,5.544
7111,9108,cruce_troncal,2.03172,7.876
4001,4000,intra_trazado,0.39648,0.952
4001,4002,intra_trazado,0.51612,1.239
3011,3012,intra_trazado,0.28666,0.688
3011,3010,intra_trazado,0.77721,1.865
7102,7101,intra_trazado,0.97337,2.336
4102,4101,intra_trazado,0.6254,1.501
4102,4103,intra_trazado,0.43964,1.055
9100,9101,intra_trazado,0.64253,1.542
9100,9004,intra_trazado,0.74228,1.781
5102,5101,intra_trazado,0.78952,1.895
5102,5103,intra_trazado,0.45339,1.088
5103,5105,intra_trazado,1.28163,3.076
3006,3007,intra_trazado,0.60283,1.447
3006,3005,intra_trazado,1.06258,2.55
3001,3002,intra_trazado,0.62327,1.496
3001,3000,intra_trazado,0.57451,1.379
5005,5002,intra_trazado,0.90758,2.178
5005,5100,intra_trazado,0.76962,1.847
6106,6105,intra_trazado,0.52058,1.249
6106,6107,intra_trazado,0.78399,1.882
7201,7200,intra_trazado,0.84029,2.017
7201,7112,continuidad_troncal_auto,0.5471,1.313
12002,12001,intra_trazado,1.11131,2.667
12002,12003,intra_trazado,0.51809,1.243
6107,6108,intra_trazado,0.6508,1.562
7107,7108,intra_trazado,0.71886,1.725
6100,6002,intra_trazado,0.93019,2.232
6100,6101,intra_trazado,0.643,1.543
9109,9110,intra_trazado,0.64847,1.556
9109,7112,cruce_troncal,1.90389,7.569
9109,9108,cruce_troncal,0.43313,4.04
6108,6109,intra_trazado,0.75488,1.812
7007,7006,intra_trazado,0.64332,1.544
7007,7008,intra_trazado,0.66123,1.587
7104,7105,intra_trazado,0.80884,1.941
4104,4103,intra_trazado,0.68049,1.633
4104,4105,intra_trazado,0.60455,1.451
5107,5105,intra_trazado,0.79069,1.898
5107,12000,intra_trazado,0.80796,1.939
4108,4107,intra_trazado,0.85052,2.041
6105,6104,intra_trazado,0.70175,1.684
6102,6101,intra_trazado,0.81907,1.966
12007,12004,intra_trazado,1.76749,4.242
12007,14001,intra_trazado,2.49219,5.981
7505,7504,intra_trazado,0.79349,1.904
7505,7506,intra_trazado,0.61895,1.485
7110,7109,intra_trazado,0.93551,2.245
4002,4003,intra_trazado,0.5334,1.28
7504,7503,intra_trazado,0.73749,1.77
4107,4106,intra_trazado,0.45567,1.094
4107,7101,cruce_troncal,0.59491,4.428
5101,5100,intra_trazado,0.49867,1.197
3002,3003,intra_trazado,0.76763,1.842
12003,12004,intra_trazado,0.54753,1.314
9104,9105,intra_trazado,0.25725,0.617
9104,9103,intra_trazado,0.73489,1.764
2201,2200,intra_trazado,0.74266,1.782
2201,2202,intra_trazado,1.11642,2.679
2502,2001,intra_trazado,0.61616,1.479
2302,2300,intra_trazado,0.89453,2.147
2302,2303,intra_trazado,0.41481,0.996
2101,2000,intra_trazado,0.94619,2.271
2101,2102,intra_trazado,0.4811,1.155
2204,2202,intra_trazado,0.73285,1.759
2204,2205,intra_trazado,0.57919,1.39
2300,2205,intra_trazado,1.01696,2.441
2300,3012,cruce_troncal,0.61673,4.48
2105,2104,intra_trazado,0.45508,1.092
2105,2200,intra_trazado,0.64065,1.538
2000,2001,intra_trazado,0.98341,2.36
2104,2103,intra_trazado,0.41553,0.997
2304,2303,intra_trazado,0.46948,1.127
2304,9123,cruce_troncal,0.57658,4.384
2102,2103,intra_trazado,0.82457,1.979
9117,9118,intra_trazado,0.68857,1.653
9117,9116,intra_trazado,0.51372,1.233
4105,4106,intra_trazado,0.6449,1.548
10002,10003,intra_trazado,0.63245,1.518
10002,10001,intra_trazado,0.82134,1.971
14001,14003,cruce_troncal,0.40716,3.977
7506,7010,continuidad_troncal,0.80577,1.934
9122,9123,intra_trazado,0.53938,1.295
9122,9121,intra_trazado,0.3846,0.923
6109,6111,intra_trazado,2.02044,4.849
12001,12000,intra_trazado,0.47861,1.149
9002,9003,intra_trazado,0.52666,1.264
9002,9001,intra_trazado,0.41815,1.004
9110,9111,intra_trazado,0.67983,1.632
9110,14003,intercambio,0.14766,4.969
7112,7113,intra_trazado,0.41868,1.005
5002,5001,intra_trazado,0.78517,1.884
10003,10004,intra_trazado,0.62828,1.508
10005,10006,intra_trazado,0.91933,2.206
10005,10010,intra_trazado,0.50675,1.216
9119,9120,intra_trazado,0.6112,1.467
9119,9118,intra_trazado,0.61126,1.467
8002,8001,intra_trazado,0.59948,1.439
8002,9004,continuidad_troncal_auto,0.63478,1.523
7108,7109,intra_trazado,0.93605,2.247
7108,9116,cruce_troncal,1.30987,6.144
9114,9115,intra_trazado,0.60995,1.464
9114,9113,intra_trazado,0.82636,1.983
7005,7004,intra_trazado,0.94111,2.259
7005,7006,intra_trazado,0.53051,1.273
7010,7000,intra_trazado,1.32393,3.177
9111,9113,intra_trazado,0.28102,0.674
9111,10007,residual_geografico,0.34578,7.61
14003,14004,intra_trazado,0.71814,1.724
14003,10006,residual_geografico,0.29128,6.884
9123,3014,cruce_troncal,1.62185,6.892
9120,9121,intra_trazado,0.7504,1.801
7008,7009,intra_trazado,0.85266,2.046
10001,10000,intra_trazado,0.65778,1.579
9103,9101,intra_trazado,0.81316,1.952
9001,9005,continuidad_troncal,1.49247,3.582
9106,9107,intra_trazado,0.6506,1.561
9106,9105,intra_trazado,0.7104,1.705
3004,3005,intra_trazado,0.68694,1.649
3004,3003,intra_trazado,1.13234,2.718
10007,10006,intra_trazado,0.65616,1.575
6001,6000,intra_trazado,0.87116,2.091
6001,6002,intra_trazado,0.79383,1.905
14004,14005,intra_trazado,0.52475,1.259
3007,3009,intra_trazado,0.83989,2.016
8001,8000,intra_trazado,0.44657,1.072
10004,10010,intra_trazado,0.54238,1.302
9108,9107,intra_trazado,0.64557,1.549
7001,7000,intra_trazado,0.49715,1.193
7001,7002,intra_trazado,0.89951,2.159
9107,7113,cruce_troncal,1.82492,7.38
9000,9005,intra_trazado,1.33519,3.204
5001,5000,intra_trazado,1.02779,2.467
5000,5009,cruce_troncal,2.83842,9.812
14005,6111,cruce_troncal,0.2591,3.622
9004,9003,intra_trazado,0.70769,1.698
3014,3013,intra_trazado,0.51184,1.228
7113,7009,intra_trazado,1.01083,2.426
3012,3013,intra_trazado,0.51374,1.233
3010,3009,intra_trazado,0.71121,1.707
7002,7003,intra_trazado,1.0593,2.542
7003,7004,intra_trazado,0.53089,1.274
9115,9116,intra_trazado,0.60151,1.444
5011,5010,intra_trazado,0.63688,1.529
5010,5009,intra_trazado,1.01914,2.446
