cod_nodo,nom_est,id_trazado,nom_tronc,tipo_esta,latitud,longitud,orden_en_trazado
9123,Calle 76 - San Felipe,TZ001,Caracas,4,4.66302945,-74.06126126,1
9122,Calle 72 - Areandina,TZ001,Caracas,4,4.65823755,-74.06206786,2
9121,Temporal Flores – Areandina,TZ001,Caracas,4,4.65490299,-74.06300913,3
9120,Calle 63,TZ001,Caracas,4,4.64840397,-74.06487053,4
9119,Temporal Calle 57,TZ001,Caracas,4,4.64298162,-74.06582826,5
9118,Temporal Marly,TZ001,Caracas,4,4.63755905,-74.06678795,6
9117,Calle 45 - American School Way,TZ001,Caracas,4,4.63145241,-74.06787872,7
9116,Temporal AV. 39,TZ001,Caracas,4,4.62689718,-74.06869679,8
9115,Temporal Calle 34,TZ001,Caracas,4,4.62157551,-74.06971918,9
9114,Calle 26 - Atrio,TZ001,Caracas,4,4.61665155,-74.07215846,10
9113,Temporal Calle 22,TZ001,Caracas,4,4.61001988,-74.07554139,11
9111,Calle 19,TZ001,Caracas,4,4.60786462,-74.07686968,12
9110,Temporal AV. Jiménez - Inter Eléctricas,TZ001,Caracas,3,4.60286688,-74.08040995,13
9109,Tercer Milenio,TZ001,Caracas,4,4.59813501,-74.08383625,14
2502,Terminal,TZ002,Autopista Norte,4,4.76881876,-74.04357255,1
2001,Calle 187,TZ002,Autopista Norte,4,4.76333655,-74.0444437,2
2000,Portal Norte – Unicervantes,TZ002,Autopista Norte,1,4.75462286,-74.04604465,3
2101,Toberin - Foundever,TZ002,Autopista Norte,4,4.74618498,-74.04725485,4
2102,Calle 161,TZ002,Autopista Norte,4,4.7419153,-74.04800035,5
2103,Mazurén,TZ002,Autopista Norte,4,4.73458855,-74.04922624,6
2104,Calle 146,TZ002,Autopista Norte,4,4.73089106,-74.04981123,7
2105,Calle 142,TZ002,Autopista Norte,4,4.72685009,-74.05050333,8
2200,Alcalá – Colegio S. Tomás Dominicos,TZ002,Autopista Norte,4,4.7211582,-74.05145916,9
2201,Prado,TZ002,Autopista Norte,4,4.71455843,-74.05255829,10
2202,Calle 127,TZ002,Autopista Norte,4,4.70463964,-74.05422516,11
2204,Pepe Sierra Universidad UTEL,TZ002,Autopista Norte,4,4.69812689,-74.0553088,12
2205,Calle 106 - Maletas Explora,TZ002,Autopista Norte,4,4.6929826,-74.05618243,13
2300,Calle 100 - Marketmedios,TZ002,Autopista Norte,4,4.68394944,-74.0577123,14
2302,Virrey,TZ002,Autopista Norte,4,4.67599737,-74.05901952,15
2303,Calle 85,TZ002,Autopista Norte,4,4.67231279,-74.05964363,16
2304,Héroes - Colmena Seguros,TZ002,Autopista Norte,4,4.66813603,-74.06030995,17
3014,San Martín,TZ003,Suba,4,4.67638966,-74.06717674,1
3013,Rionegro,TZ003,Suba,4,4.68035106,-74.06481662,2
3012,Suba - Calle 95,TZ003,Suba,4,4.68469464,-74.06321827,3
3011,Suba - Calle 100,TZ003,Suba,4,4.68696834,-74.06444284,4
3010,Puentelargo,TZ003,Suba,4,4.69340077,-74.06720874,5
3009,Suba - Calle 116,TZ003,Suba,4,4.69924111,-74.06984394,6
3007,Humedal Córdoba,TZ003,Suba,4,4.70668982,-74.07117427,7
3006,Niza - Calle 127,TZ003,Suba,4,4.71200123,-74.0723072,8
3005,Suba - AV. Boyacá,TZ003,Suba,4,4.72126716,-74.07471163,9
3004,Gratamira,TZ003,Suba,4,4.72745584,-74.07472334,10
3003,21 Ángeles,TZ003,Suba,4,4.73550811,-74.08098652,11
3002,Suba - TV. 91,TZ003,Suba,4,4.73893679,-74.08699228,12
3001,La Campiña,TZ003,Suba,4,4.74265433,-74.09120046,13
3000,Portal Suba,TZ003,Suba,1,4.74681507,-74.0942789,14
4000,Portal 80,TZ005,Calle 80,1,4.70982949,-74.11050627,1
4001,Quirigua,TZ005,Calle 80,4,4.70672525,-74.10873932,2
4002,Carrera 90,TZ005,Calle 80,4,4.70466646,-74.10457027,3
4003,AV. Cali,TZ005,Calle 80,2,4.70248285,-74.10028965,4
4100,Granja - Kr 77,TZ005,Calle 80,2,4.69915096,-74.09601773,5
4101,Minuto de Dios,TZ005,Calle 80,4,4.6968816,-74.09193285,6
4102,AV. Boyacá,TZ005,Calle 80,4,4.69393268,-74.08713194,7
4103,Ferias,TZ005,Calle 80,4,4.69088593,-74.08460127,8
4104,AV. 68,TZ005,Calle 80,4,4.68610088,-74.08076896,9
4105,Carrera 53,TZ005,Calle 80,4,4.68180475,-74.07742142,10
4106,Carrera 47,TZ005,Calle 80,4,4.67775575,-74.07325476,11
4107,Escuela Militar,TZ005,Calle 80,4,4.67553501,-74.06980215,12
4108,Polo - FINCOMERCIO,TZ005,Calle 80,4,4.67016265,-74.06433866,13
7201,Guatoque - Veraguas,TZ007,NQS Central,4,4.60417101,-74.09493313,1
7200,Tygua - San José,TZ007,NQS Central,4,4.5997872,-74.08876139,2
7111,Ricaurte - NQS,TZ008,NQS Central,3,4.61168378,-74.09386595,1
7110,Paloquemao,TZ008,NQS Central,4,4.61692188,-74.08955344,2
7109,CAD,TZ008,NQS Central,4,4.62341573,-74.08418121,3
7108,AV. ElDorado,TZ008,NQS Central,4,4.63066841,-74.07987857,4
7107,Universidad Nacional,TZ008,NQS Central,4,4.63712105,-74.07932618,5
7106,Campín - UAN,TZ008,NQS Central,4,4.64539756,-74.07871009,6
7105,Movistar Arena,TZ008,NQS Central,4,4.65003985,-74.07836246,7
7104,7 de Agosto,TZ008,NQS Central,4,4.65729528,-74.07768646,8
7103,AV. Chile,TZ008,NQS Central,4,4.66635264,-74.07457455,9
7102,Calle 75 - Zona M,TZ008,NQS Central,4,4.67015101,-74.07130492,10
7101,La Castellana,TZ008,NQS Central,4,4.67561116,-74.06444317,11
5000,Portal Américas,TZ009,Americas,1,4.62938131,-74.17305846,1
5001,Patio Bonito,TZ009,Americas,4,4.63318028,-74.16461427,2
5002,Biblioteca Tintal,TZ009,Americas,4,4.63790778,-74.15935249,3
5005,Transversal 86,TZ009,Americas,4,4.63419465,-74.15206784,4
5100,Banderas,TZ009,Americas,2,4.63129454,-74.14576996,5
5101,Mandalay,TZ009,Americas,4,4.63086366,-74.14129817,6
5102,AV. Américas - AV. Boyacá,TZ009,Americas,4,4.6301178,-74.13422457,7
5103,Marsella,TZ009,Americas,4,4.62967723,-74.13016385,8
